event,time
mouse_move,2026-04-11 16:21:14.122685
mouse_move,2026-04-11 16:21:14.129625
mouse_move,2026-04-11 16:21:14.137398
mouse_move,2026-04-11 16:21:14.143327
mouse_move,2026-04-11 16:21:14.150847
mouse_move,2026-04-11 16:21:14.157724
mouse_move,2026-04-11 16:21:14.164587
mouse_move,2026-04-11 16:21:14.171804
mouse_move,2026-04-11 16:21:14.179099
mouse_move,2026-04-11 16:21:14.185852
mouse_move,2026-04-11 16:21:14.193147
mouse_move,2026-04-11 16:21:14.200055
mouse_move,2026-04-11 16:21:14.207387
mouse_move,2026-04-11 16:21:14.213499
mouse_move,2026-04-11 16:21:14.221254
mouse_move,2026-04-11 16:21:14.228562
mouse_move,2026-04-11 16:21:14.235489
mouse_move,2026-04-11 16:21:14.241760
mouse_move,2026-04-11 16:21:14.249575
mouse_move,2026-04-11 16:21:14.263775
mouse_move,2026-04-11 16:21:14.270410
mouse_move,2026-04-11 16:21:14.277463
mouse_move,2026-04-11 16:21:14.283822
mouse_move,2026-04-11 16:21:14.291511
mouse_move,2026-04-11 16:21:14.320159
mouse_move,2026-04-11 16:21:14.333332
mouse_move,2026-04-11 16:21:14.340294
mouse_move,2026-04-11 16:21:14.347609
mouse_move,2026-04-11 16:21:14.354156
mouse_move,2026-04-11 16:21:14.360957
mouse_move,2026-04-11 16:21:14.368676
mouse_move,2026-04-11 16:21:14.375667
mouse_move,2026-04-11 16:21:14.382815
mouse_move,2026-04-11 16:21:14.389874
mouse_move,2026-04-11 16:21:14.396152
mouse_move,2026-04-11 16:21:14.403944
mouse_move,2026-04-11 16:21:14.409965
mouse_move,2026-04-11 16:21:14.417972
mouse_move,2026-04-11 16:21:14.424996
mouse_move,2026-04-11 16:21:14.432029
mouse_move,2026-04-11 16:21:14.438814
mouse_move,2026-04-11 16:21:14.445644
mouse_move,2026-04-11 16:21:14.452787
mouse_move,2026-04-11 16:21:14.459470
mouse_move,2026-04-11 16:21:14.466452
mouse_move,2026-04-11 16:21:14.473967
mouse_move,2026-04-11 16:21:14.480587
mouse_move,2026-04-11 16:21:14.487944
mouse_move,2026-04-11 16:21:14.494776
mouse_move,2026-04-11 16:21:14.502452
mouse_move,2026-04-11 16:21:14.508153
mouse_move,2026-04-11 16:21:14.515935
mouse_move,2026-04-11 16:21:14.522249
mouse_move,2026-04-11 16:21:14.529925
mouse_move,2026-04-11 16:21:14.536375
mouse_move,2026-04-11 16:21:14.543627
mouse_move,2026-04-11 16:21:14.550778
mouse_move,2026-04-11 16:21:14.558424
mouse_move,2026-04-11 16:21:14.565191
mouse_move,2026-04-11 16:21:14.572499
mouse_move,2026-04-11 16:21:14.579500
mouse_move,2026-04-11 16:21:14.586982
mouse_move,2026-04-11 16:21:14.593192
mouse_move,2026-04-11 16:21:14.600941
mouse_move,2026-04-11 16:21:14.607430
mouse_move,2026-04-11 16:21:14.614961
mouse_move,2026-04-11 16:21:14.628535
mouse_move,2026-04-11 16:21:14.635593
mouse_move,2026-04-11 16:21:14.642859
mouse_move,2026-04-11 16:21:14.650395
mouse_move,2026-04-11 16:21:14.656593
mouse_move,2026-04-11 16:21:14.663923
mouse_move,2026-04-11 16:21:14.671182
mouse_move,2026-04-11 16:21:14.677485
mouse_move,2026-04-11 16:21:14.685397
mouse_move,2026-04-11 16:21:14.691920
mouse_move,2026-04-11 16:21:14.699285
mouse_move,2026-04-11 16:21:14.706012
mouse_move,2026-04-11 16:21:14.713155
mouse_move,2026-04-11 16:21:14.719820
mouse_move,2026-04-11 16:21:14.726724
mouse_move,2026-04-11 16:21:14.734253
mouse_move,2026-04-11 16:21:14.741483
mouse_move,2026-04-11 16:21:14.755739
mouse_move,2026-04-11 16:21:14.762459
mouse_move,2026-04-11 16:21:14.769207
mouse_move,2026-04-11 16:21:14.783704
mouse_move,2026-04-11 16:21:14.797795
mouse_move,2026-04-11 16:21:14.804398
key_press,2026-04-11 16:21:15.664498
key_press,2026-04-11 16:21:16.187858
key_press,2026-04-11 16:21:16.374445
key_press,2026-04-11 16:21:16.651064
key_press,2026-04-11 16:21:17.020839
key_press,2026-04-11 16:21:17.867375
key_press,2026-04-11 16:21:18.789425
key_press,2026-04-11 16:21:19.066841
key_press,2026-04-11 16:21:19.308016
key_press,2026-04-11 16:21:19.934803
key_press,2026-04-11 16:21:20.202548
key_press,2026-04-11 16:21:20.402904
key_press,2026-04-11 16:21:21.843775
key_press,2026-04-11 16:21:22.141998
key_press,2026-04-11 16:21:25.848147
key_press,2026-04-11 16:21:26.350169
key_press,2026-04-11 16:21:26.565292
key_press,2026-04-11 16:21:26.705791
key_press,2026-04-11 16:21:26.995093
key_press,2026-04-11 16:21:27.203794
key_press,2026-04-11 16:21:27.638097
key_press,2026-04-11 16:21:28.184556
key_press,2026-04-11 16:21:28.429946
key_press,2026-04-11 16:21:29.007064
key_press,2026-04-11 16:21:29.205797
key_press,2026-04-11 16:21:29.430917
key_press,2026-04-11 16:21:29.641601
key_press,2026-04-11 16:21:29.897940
key_press,2026-04-11 16:21:30.185694
key_press,2026-04-11 16:21:30.765387
key_press,2026-04-11 16:21:31.129317
key_press,2026-04-11 16:21:31.340211
key_press,2026-04-11 16:21:31.916282
key_press,2026-04-11 16:21:32.419236
key_press,2026-04-11 16:21:32.451371
key_press,2026-04-11 16:21:32.483556
key_press,2026-04-11 16:21:32.515773
key_press,2026-04-11 16:21:32.549325
key_press,2026-04-11 16:21:32.580388
key_press,2026-04-11 16:21:32.612688
key_press,2026-04-11 16:21:32.645059
key_press,2026-04-11 16:21:32.677328
key_press,2026-04-11 16:21:32.709612
key_press,2026-04-11 16:21:32.741883
key_press,2026-04-11 16:21:32.774221
key_press,2026-04-11 16:21:32.806328
key_press,2026-04-11 16:21:32.838641
key_press,2026-04-11 16:21:32.870968
key_press,2026-04-11 16:21:32.903220
key_press,2026-04-11 16:21:32.935582
key_press,2026-04-11 16:21:32.967846
key_press,2026-04-11 16:21:33.000180
key_press,2026-04-11 16:21:33.032427
key_press,2026-04-11 16:21:33.064757
key_press,2026-04-11 16:21:33.097290
key_press,2026-04-11 16:21:33.129719
key_press,2026-04-11 16:21:33.308819
key_press,2026-04-11 16:21:33.544880
key_press,2026-04-11 16:21:33.695340
key_press,2026-04-11 16:21:33.832213
key_press,2026-04-11 16:21:33.990438
key_press,2026-04-11 16:21:34.145676
key_press,2026-04-11 16:21:34.313756
key_press,2026-04-11 16:21:34.603212
key_press,2026-04-11 16:21:37.993172
key_press,2026-04-11 16:21:38.154881
key_press,2026-04-11 16:21:38.696794
key_press,2026-04-11 16:21:39.318601
key_press,2026-04-11 16:21:39.513377
key_press,2026-04-11 16:21:39.931882
key_press,2026-04-11 16:21:40.075097
key_press,2026-04-11 16:21:40.206503
key_press,2026-04-11 16:21:40.320771
key_press,2026-04-11 16:21:40.600192
mouse_move,2026-04-11 16:21:41.254439
mouse_move,2026-04-11 16:21:41.260573
mouse_move,2026-04-11 16:21:41.267802
mouse_move,2026-04-11 16:21:41.274452
mouse_move,2026-04-11 16:21:41.281901
mouse_move,2026-04-11 16:21:41.288629
mouse_move,2026-04-11 16:21:41.295724
mouse_move,2026-04-11 16:21:41.302715
mouse_move,2026-04-11 16:21:41.309269
mouse_move,2026-04-11 16:21:41.316947
mouse_move,2026-04-11 16:21:41.323903
mouse_move,2026-04-11 16:21:41.331083
mouse_move,2026-04-11 16:21:41.337731
mouse_move,2026-04-11 16:21:41.344529
mouse_move,2026-04-11 16:21:41.359176
mouse_move,2026-04-11 16:21:41.366494
mouse_move,2026-04-11 16:21:41.387585
mouse_move,2026-04-11 16:21:41.393771
mouse_move,2026-04-11 16:21:41.400448
mouse_move,2026-04-11 16:21:41.407714
mouse_move,2026-04-11 16:21:41.421875
mouse_move,2026-04-11 16:21:41.428536
mouse_move,2026-04-11 16:21:41.435694
mouse_move,2026-04-11 16:21:41.442589
mouse_move,2026-04-11 16:21:41.450240
mouse_move,2026-04-11 16:21:41.457238
mouse_move,2026-04-11 16:21:41.463930
mouse_move,2026-04-11 16:21:41.471057
mouse_move,2026-04-11 16:21:41.477883
mouse_move,2026-04-11 16:21:41.485248
mouse_move,2026-04-11 16:21:41.491961
mouse_move,2026-04-11 16:21:41.499234
mouse_move,2026-04-11 16:21:41.506040
mouse_move,2026-04-11 16:21:41.513141
mouse_move,2026-04-11 16:21:41.520972
mouse_move,2026-04-11 16:21:41.527421
mouse_move,2026-04-11 16:21:41.534288
mouse_move,2026-04-11 16:21:41.540998
mouse_move,2026-04-11 16:21:41.548133
mouse_move,2026-04-11 16:21:41.555313
mouse_move,2026-04-11 16:21:41.562210
mouse_move,2026-04-11 16:21:41.569115
mouse_move,2026-04-11 16:21:41.576016
mouse_move,2026-04-11 16:21:41.583843
mouse_move,2026-04-11 16:21:41.590694
mouse_move,2026-04-11 16:21:41.597567
mouse_move,2026-04-11 16:21:41.604774
mouse_move,2026-04-11 16:21:41.611336
mouse_move,2026-04-11 16:21:41.618646
mouse_move,2026-04-11 16:21:41.625719
mouse_move,2026-04-11 16:21:41.632929
mouse_move,2026-04-11 16:21:41.639933
mouse_move,2026-04-11 16:21:41.646808
mouse_move,2026-04-11 16:21:41.653768
mouse_move,2026-04-11 16:21:41.660534
mouse_move,2026-04-11 16:21:41.667884
mouse_move,2026-04-11 16:21:41.675033
mouse_move,2026-04-11 16:21:41.682060
mouse_move,2026-04-11 16:21:41.688842
mouse_move,2026-04-11 16:21:41.696083
mouse_move,2026-04-11 16:21:41.703092
mouse_move,2026-04-11 16:21:41.709852
mouse_move,2026-04-11 16:21:41.717090
mouse_move,2026-04-11 16:21:41.723740
mouse_move,2026-04-11 16:21:41.731095
mouse_move,2026-04-11 16:21:41.738168
mouse_move,2026-04-11 16:21:41.744776
mouse_move,2026-04-11 16:21:41.752371
mouse_move,2026-04-11 16:21:41.786789
mouse_move,2026-04-11 16:21:41.794154
mouse_move,2026-04-11 16:21:41.801442
mouse_move,2026-04-11 16:21:41.808291
mouse_move,2026-04-11 16:21:41.815744
mouse_move,2026-04-11 16:21:41.822481
mouse_move,2026-04-11 16:21:41.829382
mouse_move,2026-04-11 16:21:41.836510
mouse_move,2026-04-11 16:21:41.842809
mouse_move,2026-04-11 16:21:41.850377
mouse_move,2026-04-11 16:21:41.857373
mouse_move,2026-04-11 16:21:41.864289
mouse_move,2026-04-11 16:21:41.871321
mouse_move,2026-04-11 16:21:41.878277
mouse_move,2026-04-11 16:21:41.885525
mouse_move,2026-04-11 16:21:41.892734
mouse_move,2026-04-11 16:21:41.899533
mouse_move,2026-04-11 16:21:41.906249
mouse_move,2026-04-11 16:21:41.913611
mouse_move,2026-04-11 16:21:41.920667
mouse_move,2026-04-11 16:21:41.927365
mouse_move,2026-04-11 16:21:41.934971
mouse_move,2026-04-11 16:21:41.941525
mouse_move,2026-04-11 16:21:41.948867
mouse_move,2026-04-11 16:21:41.955420
mouse_move,2026-04-11 16:21:41.962133
mouse_move,2026-04-11 16:21:41.969529
mouse_move,2026-04-11 16:21:41.976429
mouse_move,2026-04-11 16:21:41.983617
